,Date,skew
0,2015-03-02,104.87497128396832
1,2015-03-03,100.23126512480728
2,2015-03-04,100.26070153092584
3,2015-03-05,98.62763713376114
4,2015-03-06,99.34166371992767
5,2015-03-09,102.87410893540553
6,2015-03-10,100.50715588497542
7,2015-03-11,101.20350619451202
8,2015-03-12,106.29021738785039
9,2015-03-13,105.35707120363956
10,2015-03-16,110.01758792780225
11,2015-03-17,109.72562782082412
12,2015-03-26,104.64524961488031
13,2015-03-27,104.62992927704623
14,2015-03-30,111.15153002468709
15,2015-03-31,104.94138347781288
16,2015-04-01,107.57137740905694
17,2015-04-02,106.68603363919884
18,2015-04-03,108.09833293496516
19,2015-04-07,114.53505099785653
20,2015-04-08,111.25773656904816
21,2015-04-09,107.67593673626452
22,2015-04-10,112.06637483807208
23,2015-04-13,107.27837607554588
24,2015-04-14,103.42418373086319
25,2015-04-15,104.2493977295306
26,2015-04-16,111.4012364062097
27,2015-04-17,109.48350237685183
28,2015-04-20,101.55648951924704
29,2015-04-21,103.92374543837565
30,2015-04-22,107.26211006013804
31,2015-04-23,106.22122410076844
32,2015-04-24,104.7494019628572
33,2015-04-27,108.31017932327559
34,2015-04-28,104.48213395243341
35,2015-04-29,105.0640457424067
36,2015-04-30,103.97663590477602
37,2015-05-04,104.88743445750707
38,2015-05-05,101.89655651301611
39,2015-05-06,100.45985463896382
40,2015-05-07,99.7680255094841
41,2015-05-08,99.82326138886751
42,2015-05-11,100.85081738730668
43,2015-05-12,102.46443365885821
44,2015-05-13,101.64332810127644
45,2015-05-14,103.21177651374913
46,2015-05-15,101.05102604226025
47,2015-05-18,98.8692310282035
48,2015-05-19,101.94227006337347
49,2015-05-28,100.09017624977267
50,2015-05-29,100.4490828958725
51,2015-06-01,102.13722483850624
52,2015-06-02,102.91569726929079
53,2015-06-03,100.91897974546269
54,2015-06-04,104.22787825709923
55,2015-06-05,104.1302771132623
56,2015-06-08,111.10733229093304
57,2015-06-09,104.62789834408086
58,2015-06-10,102.91459308555102
59,2015-06-11,101.13599898771422
60,2015-06-12,101.56329200360378
61,2015-06-15,99.08850339487314
62,2015-06-16,94.72162495503173
63,2015-06-25,91.63995425269923
64,2015-06-26,74.74529465338782
65,2015-06-29,84.9322354571376
66,2015-06-30,93.84963201781451
67,2015-07-01,89.49533453396299
68,2015-07-02,88.19675883859556
69,2015-07-03,82.41444185405686
70,2015-07-06,92.57830673955951
71,2015-07-07,95.29576704456319
72,2015-07-08,79.77103517581668
73,2015-07-09,94.68283521608348
74,2015-07-10,99.20251093809733
75,2015-07-13,99.1939982772169
76,2015-07-14,94.25697701234529
77,2015-07-15,90.47370936236766
78,2015-07-16,91.82746220661434
79,2015-07-17,96.51873947476967
80,2015-07-20,92.31275306463799
81,2015-07-21,92.4795752358311
82,2015-07-22,90.73064211297704
83,2015-07-23,96.80503983801468
84,2015-07-24,91.9412235129937
85,2015-07-27,67.5383243232653
86,2015-07-28,86.38074241499103
87,2015-07-29,90.78843400542786
88,2015-07-30,77.64123153929731
89,2015-07-31,86.61233318182684
90,2015-08-03,86.2473211088142
91,2015-08-04,92.79837637658336
92,2015-08-05,89.86201214845292
93,2015-08-06,89.50643288813015
94,2015-08-07,92.46254009641392
95,2015-08-10,97.38193667501561
96,2015-08-11,96.4553038963459
97,2015-08-12,95.87746021003665
98,2015-08-13,96.69008115371821
99,2015-08-14,97.53467986003095
100,2015-08-17,94.77437827700017
101,2015-08-18,87.03874202316635
102,2015-08-27,94.22169409293558
103,2015-08-28,97.12644043102038
104,2015-08-31,97.77745849669547
105,2015-09-01,97.4389652647626
106,2015-09-02,98.02374913325613
107,2015-09-07,98.74491887515508
108,2015-09-08,101.24635982682695
109,2015-09-09,102.63058773283406
110,2015-09-10,102.26735631898448
111,2015-09-11,102.59006758921043
112,2015-09-14,102.65513927000966
113,2015-09-15,102.54236950219412
114,2015-09-24,105.020548224807
115,2015-09-25,103.75386725113054
116,2015-09-28,101.41970761955923
117,2015-09-29,100.24053831637484
118,2015-09-30,103.41691884358877
119,2015-10-08,103.8193330664086
120,2015-10-09,104.9044730087906
121,2015-10-12,111.94362750785848
122,2015-10-13,104.92041383075127
123,2015-10-14,104.628440967202
124,2015-10-15,107.54088103900646
125,2015-10-16,107.38259179152311
126,2015-10-19,105.36759851419204
127,2015-10-20,105.09677807812656
128,2015-10-21,102.45295109391705
129,2015-10-22,104.96638074185924
130,2015-10-23,105.1398094935206
131,2015-10-26,105.12395415752009
132,2015-10-27,104.78851571393265
133,2015-10-28,102.20053207430497
134,2015-10-29,101.82889657085933
135,2015-10-30,102.33364183890674
136,2015-11-02,100.36245765060468
137,2015-11-03,99.97269338871565
138,2015-11-04,105.23283915222576
139,2015-11-05,106.40968041864349
140,2015-11-06,107.41515680955187
141,2015-11-09,104.54180176427933
142,2015-11-10,101.26790965419295
143,2015-11-11,99.64117776421284
144,2015-11-12,97.16553674271765
145,2015-11-13,97.39341275418151
146,2015-11-16,97.45436581923803
147,2015-11-17,98.26916384066035
148,2015-11-26,99.6377203500675
149,2015-11-27,98.53947430852368
150,2015-11-30,99.65662504689215
151,2015-12-01,99.48137325762511
152,2015-12-02,100.74254060787338
153,2015-12-03,100.76682145046621
154,2015-12-04,98.60034554388352
155,2015-12-07,97.43580503227103
156,2015-12-08,96.94136945148222
157,2015-12-09,98.54118244553932
158,2015-12-10,98.27460977169426
159,2015-12-11,96.79803289526582
160,2015-12-14,99.89771578192347
161,2015-12-15,96.70643384257215
162,2015-12-24,105.0085166296768
163,2015-12-25,105.89228347898171
